docId,filename,top topics, and contribution to doc ...
78,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000075.txt,6,0.236,10,0.207,2,0.123,9,0.103,5,0.084,8,0.079,1,0.069,7,0.064
79,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000076.txt,6,0.267,5,0.170,7,0.121,9,0.115,2,0.103,1,0.067,4,0.061,8,0.055
80,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000077.txt,2,0.266,1,0.174,6,0.155,7,0.097,10,0.072,5,0.068
81,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000078.txt,6,0.174,2,0.157,10,0.129,9,0.124,7,0.101,5,0.101,4,0.090,8,0.062,1,0.051
82,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000079.txt,6,0.206,10,0.158,4,0.145,9,0.127,8,0.115,1,0.109,3,0.085
83,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000080.txt,4,0.222,6,0.185,10,0.148,7,0.111,2,0.105,5,0.080,9,0.074
84,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000081.txt,10,0.418,3,0.209,4,0.076,6,0.070,8,0.051
85,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000082.txt,2,0.331,9,0.174,6,0.110,4,0.087,10,0.070,3,0.070,8,0.058
86,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000083.txt,3,0.294,6,0.175,8,0.155,4,0.149,9,0.098,10,0.052
87,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000084.txt,4,0.190,8,0.174,9,0.158,6,0.141,3,0.114,2,0.082,10,0.060
88,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000085.txt,6,0.246,9,0.222,3,0.117,10,0.099,4,0.088,2,0.076,8,0.058
89,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000086.txt,1,0.310,7,0.201,5,0.092,4,0.092,2,0.092,9,0.075
90,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000087.txt,1,0.182,9,0.155,6,0.144,10,0.116,3,0.116,2,0.110,5,0.066
91,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000088.txt,5,0.280,7,0.181,2,0.176,1,0.176,8,0.057,4,0.052
92,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000089.txt,3,0.235,6,0.191,4,0.186,9,0.147,1,0.078,7,0.059
93,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000090.txt,10,0.244,6,0.192,9,0.150,8,0.145,2,0.067,3,0.062,5,0.052
94,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000091.txt,1,0.337,7,0.196,10,0.190,9,0.092
